objective,world,ablation,seed,abstraction_count,alive_count,graph_depth,dag_width,mean_lifetime,mean_exposure_lifetime,mean_reuse,valid_reuse,raw_transfer_reuse,valid_transfer_reuse,transfer_correctness,graph_compression_ratio,semantic_subsumption_ratio,branching_factor,hierarchy_emergence_time,births,deaths,regime,compositionality,noise,regularity,partial_observability,volatility
lifetime_reuse,continuous,standard,0,29,15,2,14,4.172413793103448,0.41379310344827586,0.896551724137931,12,20,9,0.45,2.0,1.0,0.06896551724137931,26,29,14,mixed,0.5,0.5,1.0,1.0,0.5
lifetime_reuse,continuous,standard,0,29,15,2,14,3.8620689655172415,0.3448275862068966,0.8275862068965517,10,20,9,0.45,2.0,1.0,0.06896551724137931,26,29,14,mixed,0.5,0.5,1.0,1.0,1.0
lifetime_reuse,continuous,standard,0,28,28,2,16,2.0,2.0,2.0,56,39,39,1.0,1.0714285714285714,1.0,0.8571428571428571,15,28,0,mixed,0.5,1.0,0.0,0.5,0.0
lifetime_reuse,continuous,standard,0,29,26,3,15,3.0344827586206895,1.9310344827586208,2.0344827586206895,56,38,38,1.0,1.1538461538461537,1.0,0.7586206896551724,13,29,3,abstraction_dag,0.5,1.0,0.0,0.5,0.5
lifetime_reuse,continuous,standard,0,29,28,3,15,2.0344827586206895,2.0,2.0344827586206895,58,43,43,1.0,1.0714285714285714,1.0,0.896551724137931,13,29,1,abstraction_dag,0.5,1.0,0.0,0.5,1.0
lifetime_reuse,continuous,standard,0,28,28,3,15,3.7857142857142856,3.7857142857142856,3.7857142857142856,106,76,76,1.0,1.0714285714285714,1.0,0.9285714285714286,10,28,0,abstraction_dag,0.5,1.0,0.0,1.0,0.0
lifetime_reuse,continuous,standard,0,29,22,2,11,5.172413793103448,3.0689655172413794,3.310344827586207,89,61,61,1.0,1.3636363636363635,1.0,0.7586206896551724,10,29,7,mixed,0.5,1.0,0.0,1.0,0.5
lifetime_reuse,continuous,standard,0,29,28,3,16,3.8275862068965516,3.793103448275862,3.8275862068965516,110,68,68,1.0,1.0714285714285714,1.0,0.8275862068965517,10,29,1,abstraction_dag,0.5,1.0,0.0,1.0,1.0
lifetime_reuse,continuous,standard,0,28,17,2,12,4.75,1.25,1.6428571428571428,35,31,26,0.8387096774193549,1.7647058823529411,1.0,0.42857142857142855,15,28,11,mixed,0.5,1.0,0.5,0.5,0.0
lifetime_reuse,continuous,standard,0,29,17,2,10,4.0344827586206895,1.1724137931034482,1.5862068965517242,34,31,23,0.7419354838709677,1.7647058823529411,1.0,0.4827586206896552,13,29,12,mixed,0.5,1.0,0.5,0.5,0.5
lifetime_reuse,continuous,standard,0,29,20,2,12,3.8275862068965516,1.3793103448275863,1.6896551724137931,40,33,25,0.7575757575757576,1.5,1.0,0.5517241379310345,13,29,9,mixed,0.5,1.0,0.5,0.5,1.0
lifetime_reuse,continuous,standard,0,28,18,2,11,3.2857142857142856,2.107142857142857,2.4642857142857144,59,54,52,0.9629629629629629,1.6666666666666667,1.0,0.5714285714285714,10,28,10,mixed,0.5,1.0,0.5,1.0,0.0
lifetime_reuse,continuous,standard,0,29,20,2,10,4.551724137931035,2.7586206896551726,3.0689655172413794,80,57,54,0.9473684210526315,1.5,1.0,0.6896551724137931,10,29,9,mixed,0.5,1.0,0.5,1.0,0.5
lifetime_reuse,continuous,standard,0,29,24,2,14,4.172413793103448,3.2758620689655173,3.4482758620689653,95,65,62,0.9538461538461539,1.25,1.0,0.6896551724137931,10,29,5,mixed,0.5,1.0,0.5,1.0,1.0
lifetime_reuse,continuous,standard,0,28,22,2,14,4.107142857142857,1.5357142857142858,1.75,43,34,32,0.9411764705882353,1.3636363636363635,1.0,0.5714285714285714,15,28,6,mixed,0.5,1.0,1.0,0.5,0.0
lifetime_reuse,continuous,standard,0,29,21,3,13,2.8275862068965516,1.4827586206896552,1.7586206896551724,43,34,25,0.7352941176470589,1.4285714285714286,1.0,0.5517241379310345,13,29,8,abstraction_dag,0.5,1.0,1.0,0.5,0.5
lifetime_reuse,continuous,standard,0,29,23,3,14,2.6206896551724137,1.5862068965517242,1.793103448275862,46,36,25,0.6944444444444444,1.3043478260869565,1.0,0.6206896551724138,13,29,6,abstraction_dag,0.5,1.0,1.0,0.5,1.0
lifetime_reuse,continuous,standard,0,28,26,2,14,3.6785714285714284,3.4642857142857144,3.5357142857142856,97,73,73,1.0,1.1538461538461537,1.0,0.8571428571428571,10,28,2,mixed,0.5,1.0,1.0,1.0,0.0
lifetime_reuse,continuous,standard,0,29,21,2,11,4.172413793103448,2.689655172413793,2.9655172413793105,78,58,56,0.9655172413793104,1.4285714285714286,1.0,0.7586206896551724,10,29,8,mixed,0.5,1.0,1.0,1.0,0.5
lifetime_reuse,continuous,standard,0,29,26,3,14,3.8620689655172415,3.3448275862068964,3.4482758620689653,97,65,63,0.9692307692307692,1.1538461538461537,1.0,0.8275862068965517,10,29,3,abstraction_dag,0.5,1.0,1.0,1.0,1.0
lifetime_reuse,continuous,standard,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,30.0,0.0,0.0,0,0,0,collapse,1.0,0.0,0.0,0.5,0.0
lifetime_reuse,continuous,standard,0,1,1,1,1,0.0,0.0,0.0,0,1,0,0.0,30.0,0.0,0.0,0,1,0,flat_memory,1.0,0.0,0.0,0.5,0.5
lifetime_reuse,continuous,standard,0,7,6,1,6,1.4285714285714286,1.1428571428571428,1.2857142857142858,8,3,0,0.0,5.0,0.0,0.0,0,7,1,flat_memory,1.0,0.0,0.0,0.5,1.0
lifetime_reuse,continuous,standard,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,30.0,0.0,0.0,0,0,0,collapse,1.0,0.0,0.0,1.0,0.0
lifetime_reuse,continuous,standard,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,30.0,0.0,0.0,0,0,0,collapse,1.0,0.0,0.0,1.0,0.5
lifetime_reuse,continuous,standard,0,20,20,2,19,1.75,1.75,1.75,35,15,0,0.0,1.5,1.0,0.1,18,20,0,mixed,1.0,0.0,0.0,1.0,1.0
lifetime_reuse,continuous,standard,0,4,4,1,4,0.0,0.0,0.0,0,3,1,0.3333333333333333,7.5,0.0,0.0,0,4,0,flat_memory,1.0,0.0,0.5,0.5,0.0
lifetime_reuse,continuous,standard,0,1,1,1,1,0.0,0.0,0.0,0,1,0,0.0,30.0,0.0,0.0,0,1,0,flat_memory,1.0,0.0,0.5,0.5,0.5
lifetime_reuse,continuous,standard,0,7,6,1,6,1.4285714285714286,1.1428571428571428,1.2857142857142858,8,3,0,0.0,5.0,0.0,0.0,0,7,1,flat_memory,1.0,0.0,0.5,0.5,1.0
lifetime_reuse,continuous,standard,0,18,12,1,12,1.5,0.16666666666666666,0.5,3,10,2,0.2,2.5,0.0,0.0,0,18,6,flat_memory,1.0,0.0,0.5,1.0,0.0
lifetime_reuse,continuous,standard,0,12,0,1,0,6.416666666666667,0.16666666666666666,1.1666666666666667,2,0,0,0.0,30.0,0.0,0.0,0,12,12,collapse,1.0,0.0,0.5,1.0,0.5
lifetime_reuse,continuous,standard,0,25,19,2,16,2.8,1.0,1.24,25,15,1,0.06666666666666667,1.5789473684210527,1.0,0.24,19,25,6,mixed,1.0,0.0,0.5,1.0,1.0
lifetime_reuse,continuous,standard,0,17,15,2,14,0.8823529411764706,0.7058823529411765,0.8235294117647058,12,13,12,0.9230769230769231,2.0,1.0,0.11764705882352941,24,17,2,mixed,1.0,0.0,1.0,0.5,0.0
