architecture_id,paradigm,e_star_complete,correspondence_score,mapping_ambiguity,C1,C2,C3,C4,C5
a000267,sat_based,False,0.5367889799092233,0.0,[],[2],[],[],[0]
a000268,hypergraph,False,0.6685121452448104,0.025,[3],[],[],"[4, 5]",[]
a000269,hypergraph,False,0.4388865522826114,0.0,[],[],[],[],[]
a000270,cellular_automata,False,0.6455784210683148,0.02857142857142857,"[4, 6]",[],[],[0],[]
a000271,random_interaction,False,0.4236629233220948,0.0,[],[],[1],[],[]
a000272,probabilistic_system,False,0.6715724981862378,0.0,[],[0],[],[],[]
a000273,sat_based,False,0.5307106718414134,0.0,[2],[1],[],[],[]
a000274,sat_based,False,0.6109524074449773,0.0,[],[],[2],[],[0]
a000275,symbolic_system,False,0.5990634143450209,0.03333333333333333,[2],[],[],[],"[5, 1]"
a000276,random_interaction,False,0.5942501259456625,0.0,[],[],[3],[],[4]
a000277,graph_system,False,0.6847886756195063,0.03333333333333333,"[0, 3]",[],[4],[1],[]
a000278,rewriting_system,False,0.5931179285168876,0.0,[],[],[],[4],[]
a000279,differentiable_system,False,0.3818367330244039,0.0,[],[],[],[2],[]
a000280,sat_based,False,0.5160714965221077,0.0,[1],[],[],[],[]
a000281,hypergraph,False,0.7189040114608376,0.0,[2],[0],[],[4],[1]
a000282,symbolic_system,False,0.6686601289026243,0.02,[],[],[],"[2, 4]",[6]
a000283,differentiable_system,False,0.41011347097711315,0.0,[3],[],[],[],[]
a000284,graph_system,False,0.6279011183935997,0.0,[],[3],[],[0],[1]
a000285,probabilistic_system,False,0.596648772288214,0.0,[],[],[2],[],[0]
a000286,cellular_automata,False,0.45591477916296846,0.0,[],[],[],[],[]
a000287,symbolic_system,False,0.6337596931709819,0.0,[],[],[4],[],[2]
a000288,symbolic_system,False,0.5041154550489619,0.0,[],[],[],[],[]
a000289,cellular_automata,False,0.7490210436784008,0.0,[3],[2],[4],[],[6]
a000290,probabilistic_system,False,0.4954434087854909,0.05,[],[],"[3, 2]",[],[]
a000291,cellular_automata,False,0.5702125937154223,0.0,[],[],[],[3],[]
a000292,sat_based,False,0.5463249026557429,0.0,[],[3],[4],[],[]
a000293,symbolic_system,False,0.5018753286246806,0.04,[],[1],[],[],"[3, 0]"
a000294,symbolic_system,False,0.6989118924566103,0.04444444444444444,"[6, 3]",[],[],"[2, 1]",[7]
a000295,sat_based,False,0.3919124765847285,0.05714285714285714,[],"[2, 5, 0]",[],[],[]
a000296,cellular_automata,False,0.6786416881762078,0.025,[],[2],"[5, 3]",[],[4]
a000297,rewriting_system,False,0.7143861299697959,0.0,[9],[3],[],[],[1]
a000298,graph_system,False,0.5342854665043808,0.12,[],[],[],"[1, 6, 4, 7, 3, 8, 9]",[]
a000299,cellular_automata,False,0.5713881721561725,0.0,[0],[],[1],[],[]
a000300,probabilistic_system,False,0.5374749820472042,0.0,[],[],[0],[],[]
a000301,graph_system,False,0.5801919658543897,0.0,[],[],[],[4],[2]
a000302,differentiable_system,False,0.6138229918315581,0.0,[],[],[],[4],[]
a000303,cellular_automata,False,0.43818631189010376,0.0,[6],[],[],[],[]
a000304,random_interaction,False,0.5349967846195629,0.0,[],[],[],[6],[]
a000305,differentiable_system,False,0.4842960608439145,0.05,[],"[4, 0, 1]",[],[],[]
a000306,differentiable_system,False,0.4539397814882797,0.0,[],[],[],[],[1]
a000307,symbolic_system,False,0.5088839861895533,0.0,[],[],[],[],[2]
a000308,graph_system,False,0.4542939144433176,0.13333333333333333,[],[],[],"[1, 2, 0]",[]
a000309,symbolic_system,False,0.5546870355849931,0.0,[],[],[],[],[0]
a000310,hypergraph,False,0.5605156798741288,0.02222222222222222,[4],[],[],[],"[5, 1]"
a000311,symbolic_system,False,0.6092700210577388,0.0,[0],[],[],[],[]
a000312,differentiable_system,False,0.33129428745931544,0.0,[],[],[],[],[]
a000313,probabilistic_system,False,0.5795432478684257,0.03333333333333333,[],[1],"[5, 4]",[],[]
a000314,sat_based,False,0.6546797332929264,0.02,"[3, 8]",[],[],[],[]
a000315,rewriting_system,False,0.6874839467497429,0.025,[2],[],[6],"[1, 4]",[]
a000316,hypergraph,False,0.5700845485284468,0.0,[1],[3],[],[],[6]
a000317,probabilistic_system,False,0.43371075352566724,0.0,[],[],[3],[],[]
a000318,random_interaction,False,0.4902788759489075,0.02222222222222222,[],[],[],[],"[5, 8]"
a000319,differentiable_system,False,0.4949800746890989,0.0,[],[],[],[],[]
a000320,random_interaction,False,0.48926151497949916,0.0,[],[],[],[],[]
a000321,probabilistic_system,False,0.6192572080774525,0.02222222222222222,[],[],"[4, 0]",[],[6]
a000322,probabilistic_system,False,0.6083214473548683,0.0,[],[],[],[3],[]
a000323,random_interaction,False,0.5485369469588521,0.0,[],[],[1],[],[]
a000324,cellular_automata,False,0.4717529833560191,0.02857142857142857,"[0, 2]",[1],[],[],[]
a000325,graph_system,False,0.47502444758033224,0.05,[],"[7, 6, 2]",[],[4],[]
a000326,symbolic_system,False,0.6576454785893848,0.04444444444444444,"[2, 0, 6]",[],[],[],[3]
a000327,sat_based,False,0.5707616092670962,0.02,"[4, 7]",[5],[],[],[]
a000328,sat_based,False,0.5550238541555346,0.0,[],[2],[],[],[]
a000329,hypergraph,False,0.6822229251053054,0.02,[1],[],[],"[4, 5]",[7]
a000330,differentiable_system,False,0.4473856806969855,0.0,[],[],[2],[],[]
a000331,differentiable_system,False,0.5237021256097123,0.0,[],[],[],[],[]
a000332,random_interaction,False,0.5002369662644286,0.0,[],[],[],[],[4]
a000333,random_interaction,False,0.570454873492502,0.02222222222222222,[],[],[7],"[6, 8]",[]
a000334,random_interaction,False,0.5023774358038654,0.0,[],[],[0],[],[]
a000335,symbolic_system,False,0.6937343892519043,0.0,[6],[],[],[],[0]
a000336,rewriting_system,False,0.34794441284774896,0.1,[],[],[],"[3, 1, 2]",[]
