objective,world,ablation,seed,abstraction_count,alive_count,graph_depth,dag_width,mean_lifetime,mean_exposure_lifetime,mean_reuse,valid_reuse,raw_transfer_reuse,valid_transfer_reuse,transfer_correctness,graph_compression_ratio,semantic_subsumption_ratio,branching_factor,hierarchy_emergence_time,births,deaths,regime
mdl_like,random,remove_composition,0,1,0,1,0,2.0,0.0,1.0,0,0,0,0.0,50.0,0.0,0.0,0,1,1,collapse
mdl_like,random,remove_hierarchy,0,14,2,1,2,5.428571428571429,0.07142857142857142,0.7857142857142857,1,3,1,0.3333333333333333,25.0,0.0,0.0,0,14,12,flat_memory
mdl_like,no_regularities,standard,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse
mdl_like,no_regularities,equal_abstraction_budget,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse
mdl_like,no_regularities,remove_composition,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse
mdl_like,no_regularities,remove_hierarchy,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse
mdl_like,hierarchical,standard,0,11,9,2,8,10.727272727272727,9.636363636363637,9.818181818181818,106,50,50,1.0,5.555555555555555,1.0,0.18181818181818182,39,11,2,reusable_feature_graph
mdl_like,hierarchical,equal_abstraction_budget,0,11,9,2,8,10.727272727272727,9.636363636363637,9.818181818181818,106,50,50,1.0,5.555555555555555,1.0,0.18181818181818182,39,11,2,reusable_feature_graph
mdl_like,hierarchical,remove_composition,0,7,5,1,5,14.142857142857142,12.428571428571429,12.714285714285714,87,38,38,1.0,10.0,0.0,0.0,0,7,2,flat_reusable_features
mdl_like,hierarchical,remove_hierarchy,0,10,8,1,8,11.7,10.5,10.7,105,48,48,1.0,6.25,0.0,0.0,0,10,2,flat_reusable_features
mdl_like,compositional,standard,0,11,9,2,8,10.727272727272727,9.636363636363637,9.818181818181818,106,72,72,1.0,5.555555555555555,1.0,0.18181818181818182,39,11,2,reusable_feature_graph
mdl_like,compositional,equal_abstraction_budget,0,11,9,2,8,10.727272727272727,9.636363636363637,9.818181818181818,106,72,72,1.0,5.555555555555555,1.0,0.18181818181818182,39,11,2,reusable_feature_graph
mdl_like,compositional,remove_composition,0,7,5,1,5,14.142857142857142,12.428571428571429,12.714285714285714,87,53,53,1.0,10.0,0.0,0.0,0,7,2,flat_reusable_features
mdl_like,compositional,remove_hierarchy,0,10,8,1,8,11.7,10.5,10.7,105,61,61,1.0,6.25,0.0,0.0,0,10,2,flat_reusable_features
mdl_like,partial,standard,0,16,9,1,9,6.25,3.5625,4.0,57,28,23,0.8214285714285714,5.555555555555555,0.0,0.0,0,16,7,flat_reusable_features
mdl_like,partial,equal_abstraction_budget,0,16,9,1,9,6.25,3.5625,4.0,57,28,23,0.8214285714285714,5.555555555555555,0.0,0.0,0,16,7,flat_reusable_features
mdl_like,partial,remove_composition,0,11,5,1,5,7.636363636363637,4.545454545454546,5.090909090909091,50,23,19,0.8260869565217391,10.0,0.0,0.0,0,11,6,flat_reusable_features
mdl_like,partial,remove_hierarchy,0,16,9,1,9,6.25,3.5625,4.0,57,28,23,0.8214285714285714,5.555555555555555,0.0,0.0,0,16,7,flat_reusable_features
mdl_like,anti_compositional,standard,0,5,4,1,4,14.0,13.4,13.4,67,34,34,1.0,12.5,0.0,0.0,0,5,1,flat_reusable_features
mdl_like,anti_compositional,equal_abstraction_budget,0,5,4,1,4,14.0,13.4,13.4,67,34,34,1.0,12.5,0.0,0.0,0,5,1,flat_reusable_features
mdl_like,anti_compositional,remove_composition,0,5,4,1,4,14.0,13.4,13.4,67,34,34,1.0,12.5,0.0,0.0,0,5,1,flat_reusable_features
mdl_like,anti_compositional,remove_hierarchy,0,5,4,1,4,14.0,13.4,13.4,67,34,34,1.0,12.5,0.0,0.0,0,5,1,flat_reusable_features
information_bottleneck_like,random,standard,0,36,9,2,9,5.861111111111111,0.16666666666666666,0.9166666666666666,6,21,11,0.5238095238095238,5.555555555555555,1.0,0.2222222222222222,8,36,27,unstable_churn
information_bottleneck_like,random,equal_abstraction_budget,0,36,9,2,9,5.861111111111111,0.16666666666666666,0.9166666666666666,6,21,11,0.5238095238095238,5.555555555555555,1.0,0.2222222222222222,8,36,27,unstable_churn
information_bottleneck_like,random,remove_composition,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse
information_bottleneck_like,random,remove_hierarchy,0,31,9,1,9,5.483870967741935,0.12903225806451613,0.8387096774193549,4,21,11,0.5238095238095238,5.555555555555555,0.0,0.0,0,31,22,flat_memory
information_bottleneck_like,no_regularities,standard,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse
information_bottleneck_like,no_regularities,equal_abstraction_budget,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse
information_bottleneck_like,no_regularities,remove_composition,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse
information_bottleneck_like,no_regularities,remove_hierarchy,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse
information_bottleneck_like,hierarchical,standard,0,47,32,3,28,4.808510638297872,2.127659574468085,2.4468085106382977,100,83,72,0.8674698795180723,1.5625,1.0,0.2553191489361702,16,47,15,abstraction_dag
information_bottleneck_like,hierarchical,equal_abstraction_budget,0,47,32,3,28,4.808510638297872,2.127659574468085,2.4468085106382977,100,83,72,0.8674698795180723,1.5625,1.0,0.2553191489361702,16,47,15,abstraction_dag
information_bottleneck_like,hierarchical,remove_composition,0,7,5,1,5,13.857142857142858,12.571428571428571,12.857142857142858,88,38,38,1.0,10.0,0.0,0.0,0,7,2,flat_reusable_features
information_bottleneck_like,hierarchical,remove_hierarchy,0,28,15,1,15,6.892857142857143,2.9642857142857144,3.4285714285714284,83,54,45,0.8333333333333334,3.3333333333333335,0.0,0.0,0,28,13,flat_memory
information_bottleneck_like,compositional,standard,0,47,32,3,28,4.808510638297872,2.127659574468085,2.4468085106382977,100,112,100,0.8928571428571429,1.5625,1.0,0.2553191489361702,16,47,15,abstraction_dag
information_bottleneck_like,compositional,equal_abstraction_budget,0,47,32,3,28,4.808510638297872,2.127659574468085,2.4468085106382977,100,112,100,0.8928571428571429,1.5625,1.0,0.2553191489361702,16,47,15,abstraction_dag
information_bottleneck_like,compositional,remove_composition,0,7,5,1,5,13.857142857142858,12.571428571428571,12.857142857142858,88,53,53,1.0,10.0,0.0,0.0,0,7,2,flat_reusable_features
information_bottleneck_like,compositional,remove_hierarchy,0,28,15,1,15,6.892857142857143,2.9642857142857144,3.4285714285714284,83,66,59,0.8939393939393939,3.3333333333333335,0.0,0.0,0,28,13,flat_memory
information_bottleneck_like,partial,standard,0,47,32,2,27,4.191489361702128,1.2127659574468086,1.5319148936170213,57,33,25,0.7575757575757576,1.5625,1.0,0.2553191489361702,18,47,15,mixed
information_bottleneck_like,partial,equal_abstraction_budget,0,47,32,2,27,4.191489361702128,1.2127659574468086,1.5319148936170213,57,33,25,0.7575757575757576,1.5625,1.0,0.2553191489361702,18,47,15,mixed
information_bottleneck_like,partial,remove_composition,0,12,5,1,5,8.083333333333334,4.25,4.833333333333333,51,23,19,0.8260869565217391,10.0,0.0,0.0,0,12,7,flat_reusable_features
information_bottleneck_like,partial,remove_hierarchy,0,26,15,1,15,5.115384615384615,1.2307692307692308,1.6538461538461537,32,22,14,0.6363636363636364,3.3333333333333335,0.0,0.0,0,26,11,flat_memory
information_bottleneck_like,anti_compositional,standard,0,46,36,3,21,5.5,3.0434782608695654,3.260869565217391,140,120,120,1.0,1.3888888888888888,1.0,0.8260869565217391,15,46,10,abstraction_dag
information_bottleneck_like,anti_compositional,equal_abstraction_budget,0,46,35,3,20,5.826086956521739,3.0434782608695654,3.239130434782609,140,117,117,1.0,1.4285714285714286,1.0,0.8260869565217391,15,46,11,abstraction_dag
information_bottleneck_like,anti_compositional,remove_composition,0,5,4,1,4,15.2,13.6,13.8,68,34,34,1.0,12.5,0.0,0.0,0,5,1,flat_reusable_features
information_bottleneck_like,anti_compositional,remove_hierarchy,0,12,9,1,9,9.583333333333334,7.833333333333333,8.083333333333334,94,55,55,1.0,5.555555555555555,0.0,0.0,0,12,3,flat_reusable_features
