objective,world,ablation,seed,abstraction_count,alive_count,graph_depth,dag_width,mean_lifetime,mean_exposure_lifetime,mean_reuse,valid_reuse,raw_transfer_reuse,valid_transfer_reuse,transfer_correctness,graph_compression_ratio,semantic_subsumption_ratio,branching_factor,hierarchy_emergence_time,births,deaths,regime,implementation
exact_memory,hierarchical,equal_abstraction_budget,0,33,33,1,33,0.5151515151515151,0.5151515151515151,0.5151515151515151,17,9,9,1.0,1.5151515151515151,0.0,0.0,0,33,0,flat_memory,hypergraph
exact_memory,hierarchical,remove_composition,0,33,33,1,33,0.5151515151515151,0.5151515151515151,0.5151515151515151,17,9,9,1.0,1.5151515151515151,0.0,0.0,0,33,0,flat_memory,hypergraph
exact_memory,hierarchical,remove_hierarchy,0,33,33,1,33,0.5151515151515151,0.5151515151515151,0.5151515151515151,17,9,9,1.0,1.5151515151515151,0.0,0.0,0,33,0,flat_memory,hypergraph
exact_memory,compositional,standard,0,33,33,1,33,0.5151515151515151,0.5151515151515151,0.5151515151515151,17,7,7,1.0,1.5151515151515151,0.0,0.0,0,33,0,flat_memory,hypergraph
exact_memory,compositional,equal_abstraction_budget,0,33,33,1,33,0.5151515151515151,0.5151515151515151,0.5151515151515151,17,7,7,1.0,1.5151515151515151,0.0,0.0,0,33,0,flat_memory,hypergraph
exact_memory,compositional,remove_composition,0,33,33,1,33,0.5151515151515151,0.5151515151515151,0.5151515151515151,17,7,7,1.0,1.5151515151515151,0.0,0.0,0,33,0,flat_memory,hypergraph
exact_memory,compositional,remove_hierarchy,0,33,33,1,33,0.5151515151515151,0.5151515151515151,0.5151515151515151,17,7,7,1.0,1.5151515151515151,0.0,0.0,0,33,0,flat_memory,hypergraph
exact_memory,partial,standard,0,48,35,1,35,3.0,0.20833333333333334,0.4791666666666667,10,6,2,0.3333333333333333,1.4285714285714286,0.0,0.0,0,48,13,flat_memory,hypergraph
exact_memory,partial,equal_abstraction_budget,0,48,35,1,35,3.0,0.20833333333333334,0.4791666666666667,10,6,2,0.3333333333333333,1.4285714285714286,0.0,0.0,0,48,13,flat_memory,hypergraph
exact_memory,partial,remove_composition,0,48,35,1,35,3.0,0.20833333333333334,0.4791666666666667,10,6,2,0.3333333333333333,1.4285714285714286,0.0,0.0,0,48,13,flat_memory,hypergraph
exact_memory,partial,remove_hierarchy,0,48,35,1,35,3.0,0.20833333333333334,0.4791666666666667,10,6,2,0.3333333333333333,1.4285714285714286,0.0,0.0,0,48,13,flat_memory,hypergraph
exact_memory,anti_compositional,standard,0,41,41,1,41,0.21951219512195122,0.21951219512195122,0.21951219512195122,9,7,7,1.0,1.2195121951219512,0.0,0.0,0,41,0,flat_memory,hypergraph
exact_memory,anti_compositional,equal_abstraction_budget,0,42,35,1,35,6.9523809523809526,0.19047619047619047,0.19047619047619047,8,7,7,1.0,1.4285714285714286,0.0,0.0,0,42,7,flat_memory,hypergraph
exact_memory,anti_compositional,remove_composition,0,41,41,1,41,0.21951219512195122,0.21951219512195122,0.21951219512195122,9,7,7,1.0,1.2195121951219512,0.0,0.0,0,41,0,flat_memory,hypergraph
exact_memory,anti_compositional,remove_hierarchy,0,41,41,1,41,0.21951219512195122,0.21951219512195122,0.21951219512195122,9,7,7,1.0,1.2195121951219512,0.0,0.0,0,41,0,flat_memory,hypergraph
