architecture_id,paradigm,e_star_complete,perturbation_sensitivity,propagation,fixed_point_strength,abstraction_growth,hierarchy_emergence,transfer,uncertainty_handling,reconstruction,convergence,stability,compositionality,substitution_response,canonical_class,lab_distance,weakest_lab_correspondence
a001781,sat_based,False,0.07921309572532978,0.04719833426143174,0.5700584332705472,0.550653548293085,0.22976264331073648,0.004360055125396408,0.371799967668622,0.3250120003326039,0.7597985589349208,0.6186674315760164,0.3350881937006721,0.024224502595821873,canon_011,0.5140176770046586,weak_behavioral_equivalence
a001784,sat_based,False,0.060950377182008304,0.22916960843473017,0.6802679706678574,0.03552900384779423,0.020175531854045914,0.011546689693650707,0.03448887166298875,0.189781705227676,0.8446032489907418,0.7163363849548424,0.04462230266697653,0.023705104702456792,canon_415,0.6763737822958753,failed
a001790,hypergraph,False,0.08497417937964953,0.6039576573969105,0.4452459565907401,0.8598371110755848,0.20727194159431728,0.014669470173262316,0.047724015165469647,0.6206939849174423,0.686024132825846,0.5106460544277446,0.7851655586670241,0.3694429295348749,canon_406,0.5697967139941535,failed
a001791,graph_system,False,0.08345200675448854,0.46506651401873733,0.7640176047382696,0.05811503170286503,0.04044182382723721,0.017778632896452987,0.75067064477606,0.2507459714479613,0.7934140397387843,0.7841547915383793,0.2040026002905295,0.3156529048492316,canon_160,0.5630823330936865,failed
a001800,symbolic_system,False,0.09455891722714929,0.24194898620714644,0.29537558372391626,0.4584914516542371,0.013946377355238904,0.013903735166133822,0.03693687377230537,0.47107577119437527,0.71486953695662,0.3804272126666484,0.47186055659206594,0.5518077637967289,canon_511,0.6688251005488518,failed
a001803,graph_system,False,0.15121307470350098,0.37701177669849506,0.6563588667076423,0.5432649098729134,0.3071497093581166,0.13813115347512533,0.04460009763907913,0.1966225960115055,0.8039434643917185,0.6787412179633188,0.45277141732253295,0.5464209842828838,canon_316,0.613495578607983,failed
a001812,sat_based,False,0.056440157976116456,0.1522488096234297,0.575649373611411,0.02629669260591372,0.010957337013923596,0.010297571335023325,0.42735357334848534,0.6011677365543433,0.7321476375204998,0.6274326472918624,0.16936049354674504,0.011048212595961449,canon_172,0.5668470706339919,failed
a001814,random_interaction,False,0.0810361536049739,0.48308255271312434,0.47974545895602505,0.3948206677913081,0.11406590539237588,0.22045734943246134,0.832673872726545,0.5963135042547999,0.6160774893255553,0.5409289038339156,0.4524386873175822,0.37709381013252974,canon_170,0.5169061346673341,weak_behavioral_equivalence
a001818,differentiable_system,False,0.07242396646493597,0.025044642780766468,0.2988013443357776,0.42085179182382526,0.011459934250463433,0.0169043843064845,0.04631286364759357,0.31167254133343736,0.8099944537310033,0.3873686129509221,0.2693263588563395,0.02587573071311955,canon_500,0.7678685915265773,failed
a001819,cellular_automata,False,0.10296370250956363,0.037713772001112866,0.7053005342833467,0.025273214406973943,0.01564433957291078,0.0013524243047733804,0.2990566838587474,0.03390873289851831,0.9575751335708367,0.7302197384745601,0.02732220525349459,0.015963077628815436,canon_524,0.7819000642484782,failed
a001823,differentiable_system,False,0.07775920390903546,0.2936099199301368,0.2783553124964271,0.4239095412696102,0.0,0.2904278494221129,0.038247321647770116,0.29250049598550304,0.7189394774747562,0.3688963184363858,0.2590467849170418,0.055567602303518426,canon_346,0.7316325476456962,failed
a001826,symbolic_system,False,0.07821085023362209,0.16648149892312508,0.30437069569859876,0.02601641925097309,0.0009712294301946756,0.009784632761343358,0.6887209380008537,0.3457430197677606,0.7171183149502907,0.39111450167241085,0.1235896852399236,0.5540484445856735,canon_297,0.6335905436504173,failed
a001827,cellular_automata,False,0.0906010163233485,0.42916806557617554,0.675259360518738,0.7124281547642218,0.4072867064403042,0.24657239511351994,0.4732675646297373,0.49251391262745103,0.6896481734630178,0.706772460424322,0.6219885387734704,0.012628722039785933,canon_088,0.5789113143651393,failed
a001832,graph_system,False,0.10485346518408518,0.47972427991729694,0.6699806820150496,0.5363899605760434,0.30532194830737547,0.3774531518853662,0.8949875698029083,0.17290881287705434,0.6725456755542675,0.6995884382125798,0.4183431132613219,0.8328549426159629,canon_215,0.48262271246564714,weak_behavioral_equivalence
a001833,cellular_automata,False,0.10173880017073345,0.0512389775978588,0.5654454882392342,0.0268487012753561,0.011243800477945154,0.022272082377126166,0.45033812415665964,0.021712137148899968,0.8712883793590787,0.6105747450211906,0.02369503965430783,0.02459929127710958,canon_203,0.7302497959873543,failed
a001835,random_interaction,False,0.07162408186159679,0.430512168476907,0.4613188589853806,0.38902260084007934,0.10079572423173577,0.4092317255186913,0.5011646733641865,0.43335925331844743,0.6307936322721184,0.5268103184469958,0.23187229335391485,0.0350211367527834,canon_178,0.5532322568195708,failed
a001836,sat_based,False,0.09026166336975183,0.1456180903571953,0.752345643506724,0.6252112187611647,0.42619964703490276,0.0380112112163124,0.03613738823224533,0.18766521946991682,0.873017917725996,0.7729087697079223,0.4962450310530486,0.06333663585532645,canon_520,0.6986988116710956,failed
a001839,symbolic_system,False,0.09361487869726287,0.2632110422279139,0.5024126746780858,0.4156807925911261,0.135448440822995,0.0017619203647918924,0.032709918007432615,0.49536146468125647,0.8105346755188365,0.5580623951714422,0.4669351149696218,0.3504026609325701,canon_489,0.6430447504212562,failed
a001841,cellular_automata,False,0.06097631081054574,0.0423793695816949,0.8136800021105712,0.11059218891001699,0.08387968339019408,0.0039752024137319104,0.5054104427761621,0.02329389203475435,0.8883515073769579,0.8306851056107811,0.07414359672297362,0.02898716608855023,canon_137,0.6737053914603426,failed
