architecture_id,operator_index,role,role_name,perturbation_sensitivity,propagation,fixed_point_strength,abstraction_growth,hierarchy_emergence,transfer,uncertainty_handling,reconstruction,convergence,stability,compositionality,substitution_response
a001949,1,4,reconstruction,0.0,0.09866161910740706,0.0,0.0,0.0,0.009369420496954366,0.0,0.13203682419125762,-0.03676470588235292,0.0,-0.0004921130189867937,0.0
a001949,2,0,uncertainty,0.0,0.0,0.0,0.0,0.0,0.0,0.1414249516976046,0.0,-0.03676470588235292,0.0,-0.0004921130189867937,0.0
a001949,3,0,uncertainty,0.0,0.0521251398927326,0.0,0.0,0.0,0.004950074390994024,0.3089724268918458,0.0,-0.03676470588235292,0.0,-0.0004921130189867937,0.0
a001949,4,4,reconstruction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10233593901809901,-0.03676470588235292,0.0,-0.0004921130189867937,0.0
a001951,0,3,propagation,0.0,0.0,0.04901584146073579,0.0,0.060417383236037514,0.0,0.0,0.0,-0.01921732208957594,0.04201357839491637,-0.005979393812872047,0.0
a001951,1,5,stabilization,0.0,0.12386937659514852,0.09615835183874644,0.0,0.11852568111150552,0.08062475965454735,0.0,0.0,-0.007431694495073304,0.08242144443321109,-0.005979393812872047,0.0
a001951,2,6,compression_2,0.0,0.08404361907502805,0.0,0.15322277139929208,0.1276205467313759,0.0,0.0,0.14007269845838005,-0.03147128245475983,0.0,0.18172752215649868,0.0
a001951,3,5,stabilization,0.0,0.0,0.08576424921242998,0.0,0.1057138132937937,0.09460436544629904,0.0,0.0,-0.010030220151652447,0.07351221361065419,-0.005979393812872047,0.0
a001951,4,8,replacement,0.0,0.04180086103759156,0.03322076558282516,0.0,0.04094822542666965,0.0,0.0,0.0,-0.02316609105905365,0.02847494192813571,-0.005979393812872047,0.41800861037591563
a001951,5,7,compression_3,0.0,0.0,0.0,0.13905997944673598,0.11582423711158862,0.0,0.0,0.0,-0.03147128245475983,0.0,0.075389486052583,0.0
a001951,6,6,compression_2,0.0,0.08404361907502805,0.0,0.15322277139929208,0.1276205467313759,0.0,0.0,0.14007269845838005,-0.03147128245475983,0.0,0.18172752215649868,0.0
a001952,0,4,reconstruction,0.0,0.0,0.0,0.0,0.0,0.007695468167447036,0.0,0.1496925113339741,-0.042764283270612546,0.0,-0.000650985585021302,0.0
a001952,1,4,reconstruction,0.0,0.07511152016142802,0.0,0.0,0.0,0.0,0.0,0.12518586693571332,-0.042764283270612546,0.0,0.08697912126997803,0.0
a001952,2,3,propagation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07616121486345673,-0.042764283270612546,0.0,-0.000650985585021302,0.0
a001952,3,8,replacement,0.0,0.10112455790228647,0.0,0.0,0.0,0.0,0.0,0.09231076812126271,-0.042764283270612546,0.0,0.06396655209986263,0.4573809702952879
a001954,0,7,compression_3,0.0,0.0,0.0,0.3374767555380752,0.15880459075892073,0.08805399387134918,0.0,0.0,-0.045093795093795075,0.0,0.20232582352659456,0.0
a001954,1,5,stabilization,0.0,0.10395831939393282,0.30468119760144147,0.0,0.17679220541683416,0.10442427684074454,0.0,0.0,0.031076504306565278,0.26115531222980704,-0.003970451229744987,0.0
a001954,2,4,reconstruction,0.0,0.0,0.0,0.0,0.0,0.06493010760218926,0.0,0.2377094336998976,-0.045093795093795075,0.0,-0.003970451229744987,0.0
a001954,3,0,uncertainty,0.0,0.08103732023679133,0.0,0.0,0.0,0.08140054218049084,0.43494552205688397,0.0,-0.045093795093795075,0.0,-0.003970451229744987,0.0
a001955,0,5,stabilization,0.0,0.0,0.15232151892583445,0.0,0.00827256808200405,0.0,0.0,0.0,-0.015270025731622838,0.13056130193642956,-0.0004228802831003839,0.0
a001955,1,3,propagation,0.0,0.16023988094942654,0.05900171131821197,0.0,0.0032043776695288573,0.009484589027249723,0.0,0.0,-0.038599977633528515,0.050572895415610386,-0.0004228802831003839,0.0
a001955,2,5,stabilization,0.0,0.0,0.15232151892583445,0.0,0.00827256808200405,0.0,0.2502244211175868,0.0,-0.015270025731622838,0.13056130193642956,-0.0004228802831003839,0.0
a001956,0,0,uncertainty,0.0,0.0,0.0,0.0,0.0,0.0,0.22368186180865357,0.0,-0.057481486623081834,0.0,-0.0004601924018833234,0.0
a001956,1,0,uncertainty,0.0,0.0,0.0,0.0,0.0,0.010595860250517706,0.17336597960238465,0.0,-0.057481486623081834,0.0,-0.0004601924018833234,0.0
a001957,0,0,uncertainty,0.0,0.0,0.0,0.0,0.0,0.0,0.20308635566422173,0.0,-0.045093795093795075,0.0,-0.0003143023425995206,0.0
a001957,1,8,replacement,0.0,0.043729627044726826,0.1372413307501843,0.0,0.006303911858093203,0.0,0.0,0.0,-0.010783462406248945,0.11763542635730084,-0.0003143023425995206,0.4372962704472684
a001957,2,4,reconstruction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14341833160369094,-0.045093795093795075,0.0,-0.0003143023425995206,0.0
