architecture_id,paradigm,e_star_complete,canonical_class,canonical_signature,lab_distance,weakest_lab_correspondence
a000484,probabilistic_system,False,canon_278,R[0:2;3:2;4:2;5:2]E[0>3;0>4;0>5;3>4;4>3;5>0;5>3],0.5738809546237962,failed
a000488,differentiable_system,False,canon_188,R[0:1;4:1]E[0>4],0.7257607498813419,failed
a000489,random_interaction,False,canon_407,R[3:1;4:1;5:1;6:2]E[3>6;4>3;4>5;4>6;5>6;6>3],0.6257908988819998,failed
a000490,probabilistic_system,False,canon_188,R[0:1;4:1]E[0>4],0.7316040794692329,failed
a000498,random_interaction,False,canon_057,R[0:1;2:1;3:2;4:1;8:1]E[0>3;2>0;2>3;2>4;2>8;3>4;3>8;4>3;4>8],0.549534062984725,failed
a000499,differentiable_system,False,canon_501,R[4:1;6:2]E[6>4],0.7477348696727816,failed
a000502,differentiable_system,False,canon_404,R[2:2;4:2;5:1;7:1]E[2>4;2>7;4>5;5>4;7>2;7>4],0.6441076829530845,failed
a000503,random_interaction,False,canon_044,R[0:1;2:1;3:1;4:2;6:1]E[2>3;2>4;2>6;3>4;4>0;6>3;6>4],0.6807559114222935,failed
a000505,rewriting_system,False,canon_262,R[0:2;3:1;4:1;5:2;8:2]E[0>3;3>4;3>8;4>8;5>0;5>3;5>8;8>4],0.4531570416685337,weak_behavioral_equivalence
a000506,differentiable_system,False,canon_374,R[2:1;4:1;5:1;7:1]E[2>4;4>5;7>2],0.6673352243459301,failed
a000507,rewriting_system,False,canon_362,R[2:1;3:2;6:2;8:2]E[2>3;3>6;3>8;6>2;6>3;6>8],0.6854326480037637,failed
a000508,hypergraph,False,canon_525,R[6:1;8:1]E[6>8],0.7485200721040998,failed
a000509,sat_based,False,canon_147,R[0:1;3:2;4:1;5:1;8:2]E[0>8;3>0;3>8;4>3;4>8;5>4;8>3],0.4528379963990823,weak_behavioral_equivalence
a000510,differentiable_system,False,canon_095,R[0:1;2:1;6:1;8:1]E[2>6;2>8;6>8;8>0],0.7041336971873993,failed
a000516,symbolic_system,False,canon_514,R[4:2;8:1]E[4>8],0.6786117073290202,failed
a000517,random_interaction,False,canon_005,R[0:1;1:1;2:1;3:2;4:1;5:1]E[1>3;1>4;2>4;2>5;3>0;3>2;3>4;3>5;4>3;5>1],0.5163502301727526,weak_behavioral_equivalence
a000527,hypergraph,False,canon_456,R[3:2;4:1;5:1;6:2]E[3>5;3>6;4>3;4>6;5>6;6>3],0.6136789946812,failed
a000534,hypergraph,False,canon_337,R[1:2;3:2;5:2;8:1]E[1>3;1>8;3>1;3>8;5>1;5>3],0.4898224617526199,weak_behavioral_equivalence
a000536,rewriting_system,False,canon_431,R[3:1;4:1]E[4>3],0.7000653540565864,failed
a000538,graph_system,False,canon_469,R[3:2;4:2;5:1]E[4>3;4>5;5>3],0.6414397870051538,failed
a000539,probabilistic_system,False,canon_066,R[0:1;2:1;3:3;4:1;6:2]E[0>2;0>3;2>4;3>0;3>2;3>4;3>6;6>0;6>3;6>4],0.6529991481502837,failed
a000542,sat_based,False,canon_408,R[3:1;4:1;5:1;7:1]E[4>3;5>4;7>5],0.5472738731388597,failed
a000549,cellular_automata,False,canon_200,R[0:1;5:1;7:1]E[0>5;7>0],0.6287596220430336,failed
a000550,rewriting_system,False,canon_454,R[3:1;8:2]E[3>8],0.6762905124698066,failed
a000553,symbolic_system,False,canon_285,R[0:2;3:3;4:1;8:2]E[0>3;0>4;3>0;3>4;3>8;4>8;8>0;8>4],0.5412309569728564,failed
a000564,differentiable_system,False,canon_388,R[2:1;4:1;6:2;8:1]E[2>6;4>8;6>2;6>4;6>8],0.6765343373317277,failed
a000571,hypergraph,False,canon_210,R[0:1;6:2]E[0>6],0.7521548018605682,failed
a000573,sat_based,False,canon_017,R[0:1;1:1;3:1;4:2;5:2]E[0>4;1>0;1>3;1>4;4>1;4>3;5>4],0.4371075327434532,weak_behavioral_equivalence
a000578,symbolic_system,False,canon_466,R[3:2;4:1;8:1]E[3>4;3>8;4>8],0.6006333813753921,failed
a000581,probabilistic_system,False,canon_226,R[0:2;2:1;3:1;4:1;5:2;7:1]E[0>3;0>4;0>5;2>0;2>3;2>5;4>0;4>2;4>3;4>7;5>2;5>3;7>2;7>5],0.5514893454061606,failed
a000584,symbolic_system,False,canon_502,R[4:1;8:1]E[4>8],0.6822688778476497,failed
a000588,symbolic_system,False,canon_463,R[3:2;4:1;6:1;8:1]E[3>4;3>8;4>8;6>3],0.5999250503460848,failed
a000589,sat_based,False,canon_500,R[4:1;6:1]E[6>4],0.7647048697597565,failed
a000590,hypergraph,False,canon_464,R[3:2;4:1;6:2;8:1]E[3>4;3>6;3>8;4>8;6>3;6>4],0.5988075314711172,failed
a000592,differentiable_system,False,canon_373,R[2:1;4:1;5:1;6:1]E[2>4;2>5;5>6;6>4],0.7186076906441233,failed
a000594,hypergraph,False,canon_334,R[1:1;5:1]E[5>1],0.6723270771286944,failed
a000596,probabilistic_system,False,canon_368,R[2:1;3:3;4:2;6:1]E[3>2;3>4;3>6;4>2;4>3;6>3;6>4],0.7022110149298735,failed
a000597,random_interaction,False,canon_244,R[0:2;2:1;3:3;4:2]E[0>3;0>4;2>0;2>3;2>4;3>0;3>2;3>4;4>0;4>3],0.6563121793847128,failed
a000599,sat_based,False,canon_323,R[1:1;3:1;4:2;5:2]E[3>1;4>1;4>3;5>1;5>4],0.4786415222117625,weak_behavioral_equivalence
a000603,hypergraph,False,canon_251,R[0:2;2:1;4:1;5:2;6:1;7:1]E[0>5;2>0;2>5;2>6;4>2;4>6;5>4;5>7;6>5;6>7;7>0],0.5640737566715247,failed
a000605,symbolic_system,False,canon_514,R[4:2;8:1]E[4>8],0.6769073364861926,failed
a000611,hypergraph,False,canon_295,R[0:2;4:1;6:2]E[0>6;4>0;6>4],0.6934106974214176,failed
a000614,hypergraph,False,canon_440,R[3:1;5:1;6:2;8:1]E[3>6;5>3;6>3;6>5;6>8],0.6196456887196448,failed
a000615,symbolic_system,False,canon_045,R[0:1;2:1;3:1;4:2]E[0>4;2>4;4>0;4>3],0.6605794395204714,failed
a000616,differentiable_system,False,canon_025,R[0:1;1:1;4:1;5:1;7:1;8:1]E[1>4;4>0;5>1;5>8;7>1;7>5;8>1],0.40535642768209484,weak_behavioral_equivalence
a000619,random_interaction,False,canon_075,R[0:1;2:1;4:1;5:1;7:1]E[0>5;0>7;2>0;5>4;7>5],0.5932673721084109,failed
