point_id,paradigm,phase,e_star_score,e_star_complete,pc1,pc2,memory_capacity,stochasticity,environmental_regularity,compositionality,interaction_locality,constraint_density,graph_connectivity,prediction_horizon,abstraction_budget,communication_bandwidth,feedback_strength,hierarchy_depth,computational_budget,perturbation_sensitivity,propagation,fixed_point_strength,abstraction_growth,hierarchy_emergence,transfer,uncertainty_handling,reconstruction,convergence,stability,compositionality,substitution_response,abstraction_depth,transfer_efficiency,behavioral_entropy,compression_ratio,fixed_point_density,stability,uncertainty_persistence,reuse,hierarchy_growth,canonical_role_count_proxy,response_susceptibility,coordination
p000010,hypergraph,-1,0.08823027091223945,False,3.362535152333858,-0.5640691348868047,0.7283892718921903,0.2832624831436261,0.9956414023571193,0.23563247522445646,0.7843887813106852,0.14302070348531037,0.44963316858330327,0.007063279738487959,0.3167602297090354,0.5433798197329929,0.7902512016426425,0.040429282269081934,0.3042247180490161,0.0891545977674878,0.4008725469785829,0.5543923414124882,0.13428006242010304,0.05351048027732186,0.03740097705487911,0.10786782200753275,0.43782833390251785,0.8528837996388363,0.6034376041591745,0.23563247522445646,0.17738366892250435,1.2140419211092874,0.03740097705487911,0.8686453381613962,0.10829037291943794,0.5543923414124882,0.6034376041591745,0.08026820663976768,0.298292908901156,0.05351048027732186,7.94916270529117,0.0891545977674878,0.8528837996388363
p000011,cellular_automata,-1,0.03488399862810421,False,3.1777816375602885,-3.5102062500716764,0.8243893920478272,0.3848751562072934,0.008433510264241198,0.1343825057703502,0.8772665835899729,0.2343251482919535,0.6056331315506216,0.025671133681136903,0.33276260417024767,0.6036392466029106,0.904963318899123,0.1729331346208678,0.4411527851441803,0.07401408463511744,0.38483604709433217,0.773830265253798,0.14101329263409124,0.09961668901010157,0.05288320296575174,0.5684097891537695,0.0882432474367727,0.8513523031555548,0.7942552113866591,0.1343825057703502,0.19095263318601674,1.3984667560404063,0.05288320296575174,0.8502706585059907,0.10682825199552366,0.773830265253798,0.7942552113866591,0.42323469421410204,0.36485967901142347,0.09961668901010157,7.802165268047926,0.07401408463511744,0.8513523031555548
p000012,symbolic_system,-1,0.023308025568826385,False,-2.762642192977812,-2.379145581768491,0.8693673775141132,0.5501063061450275,0.015664008529080224,0.41135572621088756,0.931244888197498,0.3686652861664865,0.7160156658623078,0.0038953973694384227,0.3301822831494532,0.6469916791930391,0.9672178129441257,0.248230745950198,0.5520305567853194,0.08477696428541326,0.6257624118463605,0.7310818333395085,0.45376063134159705,0.2946379846124978,0.3400365605573011,0.21454023308955028,0.21499757674534892,0.7925265558958527,0.7556840326922254,0.41135572621088756,0.19831508664383857,2.178551938449991,0.3400365605573011,0.9369759254192623,0.32411473667256935,0.7310818333395085,0.7556840326922254,0.16353158348008387,0.5024281806597652,0.2946379846124978,8.4958074033541,0.08477696428541326,0.7925265558958527
p000013,probabilistic_system,-1,0.030829579845950694,False,-2.6150424736871756,1.1937772542279228,0.9496268432268226,0.6397907805486776,0.992931000389342,0.7171844181677017,0.018735300542735756,0.4610207344014523,0.9024154352584146,0.026122737942473474,0.36273445744671173,0.7292376248168869,0.057918384703661285,0.3821119241102968,0.6716194352719362,0.10006273063555123,0.5801253844012995,0.5395736305335502,0.743903174537536,0.28359917427066705,0.05744665852189158,0.5810832051377176,0.4099235149930036,0.7373030461876044,0.5887136877196433,0.7171844181677017,0.03190531410421282,2.134396697082668,0.05744665852189158,0.9152491783525134,0.5313594103839543,0.5395736305335502,0.5887136877196433,0.45255287996676885,0.2994773386761575,0.28359917427066705,8.321993426820107,0.10006273063555123,0.7373030461876044
p000014,differentiable_system,-1,0.02203177498119968,False,-0.1398060740948805,0.9376989364800733,0.9955692861747426,0.7747944255434134,0.9989170495519282,0.24234432297050368,0.12036040053394692,0.5818430779420314,0.029760156152507378,0.012170824756633315,0.38787057911024037,0.7953370814114902,0.15345572536279306,0.4651402601420058,0.8029296847147096,0.10580737501198441,0.4633715088868839,0.5445675339481619,0.16047678382637887,0.06264842724155145,0.35431955182646996,0.72877933552123,0.22130805237101892,0.7385515220412574,0.5919106596717235,0.24234432297050368,0.5077703946334791,1.2505937089662058,0.35431955182646996,0.9268714589038339,0.1146262741616992,0.5445675339481619,0.5919106596717235,0.5673070092768038,0.49256783939614335,0.06264842724155145,8.41497167123067,0.10580737501198441,0.7385515220412574
p000015,rewriting_system,-1,0.027496851831027125,False,0.736571488257313,0.7025781011310609,0.09636680635931372,0.9166093390637,0.036456930496073306,0.3476368468543875,0.1855962581548476,0.7078721879108067,0.14940362439842714,0.0335110925667929,0.4445579118558451,0.8304902545247641,0.2039919266790755,0.5893858415923199,0.9314985565278986,0.09869343941138337,0.5443872137795625,0.5795745628701141,0.17060194155018582,0.0747048754780072,0.05350857688643879,0.6294924010341377,0.3658830933741751,0.7698936407175285,0.6232565936118668,0.3476368468543875,0.402777007363766,1.2988195019120288,0.05350857688643879,0.9144156775533934,0.12185852967870416,0.5795745628701141,0.6232565936118668,0.48409974210328044,0.44541243082187376,0.0747048754780072,8.315325420427147,0.09869343941138337,0.7698936407175285
p000016,sat_based,-1,0.03515719449717558,False,4.070604913682803,-1.8779408794177095,0.16355823412246528,0.051033731864337906,0.010969280748710567,0.2892811328275023,0.25113787360303164,0.7917065618247536,0.3107959875217601,0.03337732830149758,0.48112863650462706,0.9027788563938105,0.2780722074105306,0.7094651269482293,0.09182648267294224,0.10757873518419357,0.24333079354953668,0.5876754255667714,0.1828045913812143,0.08273587489885892,0.017822420695783735,0.08857096126268327,0.2682943596902946,0.916149625622462,0.628523637907634,0.2892811328275023,0.07633039840163525,1.3309434995954357,0.017822420695783735,0.846573575459925,0.15759016498380543,0.5876754255667714,0.628523637907634,0.0642276853621346,0.10922211273777521,0.08273587489885892,7.7725886036794,0.10757873518419357,0.916149625622462
p000017,random_interaction,-1,0.025082722456500672,False,-0.21629943056372314,0.011258107933863948,0.2591793681191501,0.1799867952525953,0.04231790004369721,0.525488328753286,0.3203491953170756,0.8937292859335217,0.47891171384427134,0.011490107089699431,0.5044111266600341,0.9733080520696222,0.4086973838626782,0.8016190503610128,0.19209202235088352,0.1123216359867442,0.3390122840457903,0.5549739566491947,0.4809953921799027,0.19601784926168253,0.020722016913740628,0.13211868025054485,0.3431992188108637,0.8429688412749747,0.5995865976620633,0.525488328753286,0.3659334185741202,1.7840713970467301,0.020722016913740628,0.9169477107103804,0.3878995098225022,0.5549739566491947,0.5995865976620633,0.09870710101007064,0.26965356565273535,0.19601784926168253,8.335581685683042,0.1123216359867442,0.8429688412749747
p000018,graph_system,-1,0.0,False,0.1475541624819215,5.653118331035475,0.2942011148352166,0.27678638124955945,0.031608761184390835,0.5611264063933108,0.44133586681313,0.017755240704202535,0.6208356350316135,0.010929281373705657,0.5366632458571019,0.9984517530633915,0.4754987093278491,0.8902647461088924,0.3164869988210577,0.09972695184853453,0.5932678135178097,0.27279498742458663,0.4831768197882057,0.0,0.05983682697225492,0.5550785432003944,0.40534963858912276,0.6854826974734306,0.3601092192605862,0.5611264063933108,0.7217805263952783,1.0,0.05983682697225492,0.9072782927866205,0.34512629984871834,0.27279498742458663,0.3601092192605862,0.44092952206960584,0.5989377466541541,0.0,8.258226342292964,0.09972695184853453,0.6854826974734306
p000019,hypergraph,-1,0.03035346932348182,False,-1.0725858329603404,-3.3811058920396992,0.3670356640318473,0.4173768759048375,0.04006637329480283,0.3021165263853997,0.5123154763896449,0.1578552381242937,0.7368353684099658,0.03352079197743553,0.5694268324057601,0.06290978974463957,0.5484625781154773,0.010656505079884582,0.4572407827011209,0.09125511481612182,0.6279373550093827,0.8194195482123403,0.18911053250524623,0.14710280136584908,0.4520117908321326,0.1726387933553427,0.2866067295190932,0.8377662794581483,0.8302180232852485,0.3021165263853997,0.44202595443615633,1.5884112054633963,0.4520117908321326,0.920070313523681,0.1350789517894616,0.8194195482123403,0.8302180232852485,0.12924950547550784,0.5717436127608746,0.14710280136584908,8.360562508189448,0.09125511481612182,0.8377662794581483
